№,施設名,区市町村名,施設所在地,最寄り駅,設置者名,開始時間,終了時間,２４時間,定員,事業開始　　　　年月日,電話番号,基準を満たす旨の証明書,備考
1,さくらインターナショナルスクール千代田校,千代田区,岩本町1-6-3　岩本町163ビル2階,"日比谷線　
小田馬町駅",株式会社関西国際学園,08:00,18:00,,18.0,42131.0,5825-9888,無,,35.6917148,139.7769855,ChIJd6jqa6uOGGARE-h_vZ1yVYM,"日本, 〒101-0032 東京都千代田区岩本町１丁目６−３"
2,ウイ　インターナショナルプリスクール,中央区,銀座6-16-5　さ可井小川ビル3階,"都営浅草線
東銀座駅",㈱正コーポレーション,09:00,17:30,,28.0,41736.0,6808-9331,無,,35.6677507,139.7660035,ChIJMWtSYueLGGARCigG0Frz5D8,"日本, 〒104-0061 東京都中央区銀座６丁目１６−５"
3,EtonHouseInternational Preschool,港区,赤坂9-2-16,"大江戸線
六本木駅",瀬尾　麻美,08:30,18:00,,56.0,40420.0,6804-3322,無,,35.66776360000001,139.7323645,ChIJk-UlAoKLGGARtd1ADBjlRB8,"日本, 〒107-0052 東京都港区赤坂９丁目２−１６"
4,Ｋ space,港区,白金台5-13-39,"南北線
白金台駅",Kspace 株式会社,9:00,17:00,,123.0,H17.8.29,3446-3478,無,,35.6388056,139.7222108,ChIJeXkzKQWLGGAR3WE56ofoltw,"日本, 〒108-0071 東京都港区白金台５丁目１３−３９"
5,広尾シュタイナーこども園,港区,西麻布4-8-12,"日比谷線
広尾駅",㈱こどもとくらし,9:00,16:00,,15.0,40817.0,3400-0230,無,,35.6569534,139.7213908,ChIJu4Y-0W-LGGARhWtb1_zF6wU,"日本, 〒106-0031 東京都港区西麻布４丁目８−１２"
6,ohana international school　オハナインターナショナルスクール,港区,"元麻布3－12－36
R-mind　Moto Azabu","南北線
麻布十番駅",サクスシェリーベリンダ,07:30,17:30,,10.0,40163.0,3408-8888,無,,35.656076,139.7311844,ChIJV783nHWLGGARkVm702V1qQo,"日本, 〒106-0046 東京都港区元麻布３丁目１２−３６"
7,キンダーキッズインターナショナルスクール品川校,港区,高輪４－１０－３１品川プリンスレジデンス１F,"JR山手線
品川駅",（株）キンダーキッズインターナショナル　　　　　　　　,07:45,18:15,,95.0,41526.0,5475-7717,有,,35.6273041,139.7350657,ChIJI6TV0FmKGGARI91YsCm2T-Y,"日本, 〒108-0074 東京都港区高輪４丁目１０−３１ 品川プリンスレジデンス"
8,港区志田町保育室,港区,白金1-11-16,"三田線　白金駅
南北線　高輪駅",港区,07:15,18:15,,107.0,41730.0,6722-2582,無,,35.6456524,139.7334234,ChIJDeHS3aeLGGARYSSuFRTicp8,"日本, 〒108-0072 東京都港区白金１丁目１１−１６"
9,CHATEAU SCHOOL,港区,西麻布3-17-3,"日比谷線
六本木駅",CHATEAU　STAR　PTE.LTD.,08:00,18:00,,12.0,42156.0,6434-9689,無,,35.658645,139.7247905,ChIJP9m25XCLGGARoe4_zH-k8KE,"日本, 〒106-0031 東京都港区西麻布３丁目１７"
9,CHATEAU SCHOOL,港区,西麻布3-17-3,"日比谷線
六本木駅",CHATEAU　STAR　PTE.LTD.,08:00,18:00,,12.0,42156.0,6434-9689,無,,35.658645,139.7247905,ChIJP9m25XCLGGARoe4_zH-k8KE,"日本, 〒106-0031 東京都港区西麻布３丁目１７",35.6582395,139.7244683,ChIJhzgsI3GLGGARmYmZvtEoGoE,"日本, 〒106-0031 東京都港区西麻布３丁目"
10,アイビー・チルドレンズルーム,新宿区,荒木町6-4ベルロジエ201,"丸の内線
四谷三丁目駅",有限会社アイビー・チルドレンズルーム,09:30,13:30,,8.0,37347.0,3353-3390,有,,35.6895637,139.7232526,ChIJ37QPX_KMGGARVTJfeEr919w,"日本, 〒160-0007 東京都新宿区荒木町６−４ ラ・ベルロシェ"
